id;zygs;zyetrid;flmch;fl;shl;je;shlv;she;shhje;jmje;startd;endd;mark_1;mark_2;createby;createbyid;createon;create_gsid;create_gsmch;create_bmid;create_bmm;create_gwid;create_gwm;modifyby;modifybyid;modifyon
1;349;88174;Keyboard;58551;17795;12557;57551;76438;21441;17832;2021-04-08;2021-04-08;back-end Legacy Practical;generate 旁 Cambridgeshire;overriding;24130;2021-04-08;Granite Advanced Chief;旁;74335;deposit Beauty;81030;iterate;Islands National;4129;2021-04-08
2;51499;71327;Bedfordshire;16294;26134;7869;29729;83547;17022;97644;2021-04-09;2021-04-08;Shoes generation deposit;green;lime;6404;2021-04-09;Berkshire Music;engage Nepal Generic;95906;Realigned contingency compress;98655;withdrawal;Infrastructure;75521;2021-04-08
3;5068;1949;virtual Soft Chief;79656;82033;23202;42163;61899;3327;57576;2021-04-08;2021-04-09;grow Garden;Republic;backing;53562;2021-04-09;Baby Soap RAM;communities SMTP;32292;Frozen system;65021;vortals XML driver;innovative;15515;2021-04-08
4;45284;34864;Buckinghamshire;23617;4194;32873;30525;73913;55696;16702;2021-04-08;2021-04-08;protocol projection;programming Shoes Avon;blockchains Consultant;65466;2021-04-08;SMS;Fantastic;34352;西藏 Product;17839;Sao pink;deliver 桥 Developer;48485;2021-04-08
5;55012;67893;Persevering Dynamic Investor;33081;15555;57944;70337;22460;95104;95557;2021-04-09;2021-04-08;Account Dollar;Buckinghamshire generate;Practical world-class parse;61853;2021-04-08;interactive;bleeding-edge 广西省 Account;50731;Loan Shirt;70653;instruction Avon;Garden Awesome deliverables;56485;2021-04-08
6;43092;87778;wireless Future;25163;30750;15904;80445;94800;84657;96495;2021-04-08;2021-04-08;withdrawal Generic;ability Somalia Director;Savings;38137;2021-04-09;calculate;Developer global payment;69769;Steel 澳门 Polarised;21117;Shilling invoice Concrete;Chair;59442;2021-04-09
7;78272;94309;Incredible Account Corporate;39159;93176;39215;22062;57432;75237;87830;2021-04-08;2021-04-08;Ukraine Gorgeous FTP;vertical Clothing Assurance;compressing;84185;2021-04-08;context-sensitive Administrator;primary Incredible monitoring;52306;mesh Frozen;18931;open-source Architect;Solutions;19846;2021-04-08
8;92689;28450;auxiliary Money;65021;47338;14686;74963;10530;87939;8327;2021-04-09;2021-04-09;RAM Computers;archive multi-byte EXE;benchmark turquoise;66008;2021-04-08;安徽省 synthesizing bleeding-edge;Orchestrator Account;89527;Wooden Awesome 新疆;22688;cross-media Producer;transmitting IB;71670;2021-04-08
9;31235;88301;override bypassing;62757;56651;89587;97254;15947;1843;49790;2021-04-08;2021-04-08;dot-com Jewelery;Gloves Account;innovate;90491;2021-04-08;湖北省;override;75033;Phased Senior Account;66072;Taiwan;海南省 HDD;58675;2021-04-08
10;72552;65585;Berkshire engage;28427;76944;85519;88426;33885;91819;53516;2021-04-08;2021-04-08;Gloves Supervisor;throughput;Turkmenistan withdrawal state;73351;2021-04-08;Soft Soft Orchestrator;Hat Checking encryption;93417;巷 Advanced Stand-alone;44830;Investment infrastructures reintermediate;cultivate;96665;2021-04-08
