id;zygs;je;she;shhje;jmje;jmhje;id_hw;htid;mb;zywtrid;mark_1;mark_2;createby;createbyid;createon;create_gsid;create_gsmch;create_bmid;create_bmm;create_gwid;create_gwm;modifyby;modifybyid;modifyon
1;whiteboard deposit Refined;2655;22113;69642;62016;63318;87871;82171;Re-contextualized;13564;program matrix;Internal Plastic redundant;Borders;16199;2021-04-08;multimedia;cyan;99759;Practical;Accounts;Shilling;Officer capacitor salmon;98082;2021-04-09
2;hacking;41816;55820;6587;27994;27983;17046;48500;override pixel 湖南省;31275;Sports Metal;rich Cambridgeshire;Movies Response Gloves;6703;2021-04-08;Tasty Granite;red connect;51679;路 Cambridgeshire;reboot Chair;Plastic;Account Tuna compelling;5206;2021-04-08
3;online;5325;43759;25295;11400;67482;29465;41100;Books Pizza;66145;withdrawal calculate applications;Fresh;Licensed management Taka;35321;2021-04-08;Salad withdrawal;capability 湖北省;57203;incentivize Fantastic Buckinghamshire;optical;cross-platform homogeneous value-added;Account;59648;2021-04-08
4;generating;9970;9634;29981;84072;61322;83004;25639;integrate;53995;invoice fresh-thinking Branding;Soap Riel;Product Rubber orchid;73488;2021-04-08;Towels transmitter Incredible;withdrawal;37966;grow;digital 旁;Integrated Kuwait;defect target;58392;2021-04-08
5;Incredible fault-tolerant Books;14281;79961;6480;373;80930;49311;91790;Enterprise-wide;44187;Borders XSS;pink;Synchronised Garden;11992;2021-04-08;withdrawal;COM Factors Ball;79354;山西省 infomediaries;matrix 甘肃省;bandwidth;Engineer compress Specialist;45922;2021-04-08
6;Savings IB;40733;46941;71315;6695;80496;19487;10091;& Division Garden;35515;Versatile Berkshire Developer;街;Automotive PNG Marketing;22459;2021-04-08;Mouse;synthesizing;18960;monitoring Steel real-time;Chair;Investment;Identity;96992;2021-04-08
7;安徽省 Unbranded;86579;97841;50897;1973;85410;84754;56246;Steel parse;72410;Administrator Movies;schemas Representative;Representative New 侬;37572;2021-04-08;Analyst;Shoes content next-generation;49246;Refined time-frame Accountability;Soft Fantastic applications;green Anguilla strategic;SAS;7138;2021-04-08
8;Marketing Business-focused;40341;65462;97189;4266;60652;38228;90720;convergence compressing Yemen;92821;Credit Health 黑龙江省;Granite;Shoes;96856;2021-04-08;Rustic;Central migration;54982;throughput;parsing Pierre Zambia;Kenya payment Lead;河北省 Versatile;60150;2021-04-09
9;Practical;58372;22530;39115;18998;34979;27376;36644;channels;24265;Checking Yen;reinvent;栋 Tools;42109;2021-04-08;Adaptive;leading-edge HDD yellow;29565;interfaces;Account;bypass withdrawal circuit;Wooden index;30084;2021-04-08
10;matrix hack;23126;32998;32476;38780;29670;21150;77408;withdrawal;46041;栋 PCI 宁夏;teal Tactics fuchsia;card;52375;2021-04-08;optical extensible Plastic;陕西省;97757;index generate;Martin;Customer Metrics;Marino Tala;89271;2021-04-08
