id;rq;lb;shl;gq;syl
1;2021-04-08;HDD transition;95575;巷 Car;44274
2;2021-04-08;green Integration generate;77745;connecting;76861
3;2021-04-08;Kina;72074;mobile;21100
4;2021-04-09;azure Liberian Buckinghamshire;8385;strategic;96237
5;2021-04-08;Mauritius;53164;Liaison;97408
6;2021-04-08;transparent Rica enterprise;72147;Strategist;48185
7;2021-04-08;blue core;27853;Rubber 中心 Investment;51563
8;2021-04-08;plum yellow;67359;Gambia Cambridgeshire Chair;21762
9;2021-04-08;Principal Strategist;75158;Chicken back-end India;40035
10;2021-04-08;Guinea;43491;Renminbi THX Liaison;57577
